Layer,Channel_Index,L1_Score,GRA_Score
layer3.0.conv2,30,0.43047953,0.3315100153477991
layer3.0.conv2,31,0.438688,0.7080896161206347
layer3.0.conv2,32,0.47376922,0.32714031442040725
layer3.0.conv2,33,0.36072868,0.675723200513117
layer3.0.conv2,34,0.76256317,0.8895571698862539
layer3.0.conv2,35,0.38795233,0.6723475044508906
layer3.0.conv2,36,0.49324018,0.7892937695323519
layer3.0.conv2,37,1.0,0.6732741260774563
layer3.0.conv2,38,0.66855836,0.6986155327734792
layer3.0.conv2,39,0.57485217,0.5924322086211219
layer3.0.conv2,40,0.43888175,0.8598656646595227
layer3.0.conv2,41,0.72782165,0.5262389988531562
layer3.0.conv2,42,0.5861745,0.5986759803481213
layer3.0.conv2,43,0.6516887,0.0
layer3.0.conv2,44,0.18783644,0.5557189615490099
layer3.0.conv2,45,0.72229713,0.6457642042483072
layer3.0.conv2,46,0.39022467,0.8599007856202476
layer3.0.conv2,47,0.7046851,0.04748190536691531
layer3.0.conv2,48,0.41702908,0.3300369769136774
layer3.0.conv2,49,0.54746914,0.49349932094212107
layer3.0.conv2,50,0.7289833,0.9673627577729473
layer3.0.conv2,51,0.22682391,0.85734226446977
layer3.0.conv2,52,0.27761313,0.5504344821097155
layer3.0.conv2,53,0.8473162,0.6524723077467499
layer3.0.conv2,54,0.5635361,0.5486555646106763
layer3.0.conv2,55,0.33601397,0.6765873395002535
layer3.0.conv2,56,0.0,0.7794264131017312
layer3.0.conv2,57,0.48256207,0.4395130953256198
layer3.0.conv2,58,0.36202735,0.4692348209139049
layer3.0.conv2,59,0.40383893,0.5390479399361137
layer3.0.conv2,60,0.8616269,0.7184564252834236
layer3.0.conv2,61,0.6450905,0.7579266677724349
layer3.0.conv2,62,0.47934154,0.6666570920469395
layer3.0.conv2,63,0.7569297,0.5183306569411055
layer3.0.downsample.0,0,0.3113391,0.8019804923336845
layer3.0.downsample.0,1,0.8395855,0.755351510251796
layer3.0.downsample.0,2,0.2558856,0.7690384165163561
layer3.0.downsample.0,3,0.5310482,0.6048562458968099
layer3.0.downsample.0,4,0.4223142,0.8894033296777425
layer3.0.downsample.0,5,0.38381007,0.13238323252951528
layer3.0.downsample.0,6,0.81871146,0.8189683073321719
layer3.0.downsample.0,7,0.4341182,0.7885198485020448
layer3.0.downsample.0,8,0.313545,0.7320681598592851
layer3.0.downsample.0,9,0.14529622,0.8631635886111862
layer3.0.downsample.0,10,0.18350321,0.5581886336434472
layer3.0.downsample.0,11,0.39740625,0.3911336396595753
layer3.0.downsample.0,12,0.2907539,0.6737180742183652
layer3.0.downsample.0,13,0.3492697,0.8140197035292432
layer3.0.downsample.0,14,0.5624412,0.7069845646389922
layer3.0.downsample.0,15,0.4203498,0.6420034918089003
layer3.0.downsample.0,16,0.1549773,0.2437678133794218
layer3.0.downsample.0,17,0.551266,0.5918591641228603
layer3.0.downsample.0,18,0.56530285,0.6752088834889304
layer3.0.downsample.0,19,0.6922188,0.756046064967485
layer3.0.downsample.0,20,0.5558074,0.5669513756013174
layer3.0.downsample.0,21,0.41846,0.3984599699352827
layer3.0.downsample.0,22,0.0,0.7475135272967672
layer3.0.downsample.0,23,0.4515428,0.8581779313784763
layer3.0.downsample.0,24,0.17901172,0.7998838200676516
layer3.0.downsample.0,25,0.20881295,0.42081028343106497
layer3.0.downsample.0,26,0.45278522,0.5950008219458125
layer3.0.downsample.0,27,0.67286193,0.28168490342303365
layer3.0.downsample.0,28,0.7748627,0.8075767427869406
layer3.0.downsample.0,29,0.47537974,0.7279816395769081
layer3.0.downsample.0,30,0.74916947,0.9898705510465347
layer3.0.downsample.0,31,0.67712396,0.6548444761552601
layer3.0.downsample.0,32,0.32146966,0.889365882062538
layer3.0.downsample.0,33,0.44837448,0.7916256354514851
layer3.0.downsample.0,34,0.33260986,0.6428013231054693
layer3.0.downsample.0,35,0.615195,0.9374494083560566
layer3.0.downsample.0,36,0.4669404,0.786901717339784
layer3.0.downsample.0,37,0.53050137,0.36109119181535043
layer3.0.downsample.0,38,0.39432332,0.7792856607780202
layer3.0.downsample.0,39,0.5443343,0.4545344231280342
layer3.0.downsample.0,40,0.53134614,0.6862192707299214
layer3.0.downsample.0,41,0.36551467,0.6762187865431842
layer3.0.downsample.0,42,0.6240555,0.7603556941993967
layer3.0.downsample.0,43,0.4535142,0.8199092279373646
layer3.0.downsample.0,44,0.82850015,0.8543827141238486
layer3.0.downsample.0,45,0.6360837,0.8021980826872943
layer3.0.downsample.0,46,0.52703756,0.784144784489881
layer3.0.downsample.0,47,0.47312096,0.7705749512960132
layer3.0.downsample.0,48,0.5252554,0.9002765403914578
layer3.0.downsample.0,49,0.45461738,0.7213222710372653
